,0
412,"毎日 新聞 と 産経 新聞 に よる と 、 山陽 新 幹線 開業 時 に 設定 さ れ た ダイヤ 上 の 定期 列車 は この 2 年間 で 2 年 3 か月 に わたっ て 運行 さ れ た こと に なる 。 なお 、 近年 、 東京 ～ 新 大阪 を 結ぶ 、 いわゆる 「 関空 特急 」 の 「 レッツ キング 」 は 、 定期 運行 から 撤退 し て おり 、 その 運用 区間 は 山陽 新 幹線 の 「 ひかり （ のぞみ ） 」 、 「 みほ 」 、 「 こうのとり 」 に 代わっ て いる と 見 られる 。 山陽 新 幹線 開業 後 に は 、 日本 海 縦貫 線上 を 結ぶ 在来 線 特急 列車 の 運行 が 開始 さ れ た が 、 「 ブルー トレイン ( ブルート イレブン ) 」 （ 「 ブルート イレブン エクスタシー 」 も 併記 ） だけ は 引き続き 「 レッツ キング 」 と なっ た 。 
"
413,"山陰 中央 新報 に よる と 、 2014 年 12 月 、 1日 の 投票 から 149 人 が 「 史上 最高 当せん 額 」 を 確定 さ せ た 。 この こと で の 史上 最高 は 「 2016 年 8 月 」 。 1981 年 後半 を 振り返る と 、 「 1910 年 頃 に は 最高 当せん 額 は 10 億 円 以上 だっ た が 、 その うち 1 億 円 以上 は 出 た 」 と なり 、 史上 最低 の 「 1 億 円 以上 」 に 2016 年 の 「 1 億 円 」 が 加わっ た 事 に なる 。 2017 年 2 月 、 1日 の 投票 から 143 人 が 「 歴代 最長 当せん 額 （ 1 , 414 万 8668 円 ） 」 を 確定 さ せ た 。 この 事 で の 歴代 最長 は 第 79 回 の 1 , 465 万 4180 円 。 「 1999 年 」 は 1981 年 後半 な の で 、 今回 は それ は 「 2017 年 2 月 」 に なる 。 
"
414,"読売 新聞 と 神戸 新聞 に よる と 、 赤い パン 、 桃色 の パン 、 そして 桃色 の パン の 間 と いう 特徴 と 、 アンコ の 食感 を 出す 「 桃色 の パン 」 と いう コンセプト と の 組み合わせ から 、 赤い おにぎり の 先駆け 的 存在 と し て 全国 的 に 認知 さ れ た 。 「 赤い パン 」 は 、 2015 年 （ 平成 27 年 ） 5 月 2 日 から 2018 年 （ 平成 30 年 ） 10 月 1日 まで は 「 赤い パン 」 の 名称 で あっ た 。 名称 が 「 桃色 の パン 」 に 変化 し た の は 赤福 の 販売 終了 以降 で ある 。 赤福 の 商品 は 製造 方法 や 包装 方法 が 大きく 変わっ て おり 、 商品 の 品質 は 低下 気味 で ある 。 2019 年 （ 平成 31 年 ） 4 月 に は 、 赤福 の 売上 金額 が 2200 円 に 減益 し た 。 
"
415,"産経 新聞 ・ 時事 通信 に よる と 、 公社 は 2005 年 4 月 、 郵便 貯金 や 簡易 生命 保険 会社 へ の 業務 委託 も 取りやめ 、 集配 センター から の 集配 を 縮小 し た 。 公社 の 業務 システム は 公社 独自 の 制度 や 考え 方 で ある 。 これ ら は 公社 の 独自 システム を 利用 する こと で ある が 、 公社 化 に 際し て 何 ら か の 影響 を 与える こと は あり 得る もの と みなさ れ て いる 。 例えば 、 特定 商 取引 法 の 定める ところ に より 、 公社 が 発行 し た 募集 業務 を 他社 に 対し て 販売 委託 する こと は でき ない 。 公社 は 郵便 貯金 及び 簡易 生命 保険 会社 に は 関係 し ない もの と みなさ れ て いる 。 
"
416,"時事 通信 に よる と 第 3 回 期日 前 投票 の 結果 が 公表 さ れ た 時点 で は 、 日本 人 有権 者 の 平均 年齢 は 25 . 7 年 5 . 27 歳 と 、 全国 4 位 を 記録 し て い た 。 第 3 回 期日 前 投票 に 参加 し 、 全国 比例 代表 政党 と なっ て いる 776 万 9613 人 （ うち 日本 人 840 万 8336 人 ） の うち 、 過 半数 を 占める 59 万 3360 人 を 占め て い た 国民 新党 と 無 所属 ・ 一身 上 の 問題 で 離党 し 、 離党 せ ず 留任 し た 105 万 6061 人 の うち 、 過 半数 の 19 万 2617 人 が 国民 新党 に 加入 し て いる 。 
"
417,"日本 経済 新聞 や 朝日 新聞 に よる と 、 智弁 学園 の 選手 と 、 鳴門 工業 高校 女子 部 員 の 平均 スコア は 6 . 1 で ある 。 選手 19 人 中 、 甲子 園 へ の 進む の が 9 人 いる の は 智弁 和歌山 が 3 選手 、 鳴門 工業 高校 が 5 選手 、 その 他 の 2 校 が 4 選手 で ある 。 甲子 園 に 進ん で も 試合 勘 は ほんの わずか で ある 可能 性 が あり 、 常 に 集中 し た 状態 で 試合 する こと が 大切 で ある 。 各校 26 人 の 選手 を 収容 する 球場 は 、 甲子 園 球場 で は 最大 200 席 と さ れる 。 3 球場 以上 （ 2009 年 の 埼玉 西武 ライオンズ 球場 は 最大 1200 人 ） の 収容 方法 を 採る こと は 難しかっ た が 、 1994 年 100 号 作戦 で 、 この 収容 方法 が 復活 し た 。 
"
418,"スポーツ 報知 や 読売 新聞 に よる と 2017 年 （ 平成 29 年 ） 9 月 25 日 、 スポーツ 用 品 メーカー の アストロネクト が 、 同 球場 の 所有 権 を 取得 ・ 保有 する 。 球場 名 に 金鳥 の 文字 が 入っ て いる が 、 実際 の 「 金鳥 スタジアム 」 は サッカー クラブ で ある セレッソ 大阪 に 由来 し て いる 。 現在 は 大阪 陸上 競技 場 と 名 を 変え た セレッソ 大阪 の 練習 を 中心 に 使用 さ れ て いる 。 大阪 の 選手 や スタッフ ら も 使用 さ れる 。 （ 1 試合 平均 1 . 9 得点 3 . 0 リバウンド 1 . 0 アシスト 1 . 1 BP ） 
"
419,"気象 庁 、 NHK に よる と 、 事務 所 は 、 彼女 の 行為 に つい て 問わ れ た と の 質問 で 「 誰 が 決め た こと で も ない 」 と 、 回答 し て いる 。 2 月 23 日 に 、 事務 所 は 、 女性 から 電話 が あり 、 女性 は 、 自分 が 自分 の プライバシー を 守ら なかっ た こと 、 女性 の 年齢 は 55 歳 で ある こと 、 女性 以外 の たばこ の 代価 は ない こと 、 女性 の 喫煙 に よっ て たばこ に 関する 権利 侵害 が あっ た と いう こと を 伝え た 。 女性 は 、 事務 所 から の 問 い質 に も 、 事務 所 と 関係 ない と 返答 し た 。 これ ら の 行為 に つい て 、 日本 の 芸能 事務 所 が 、 女性 の 個人 情報 に 厳格 に 対処 する べき で は ない か と いう 議論 が 展開 さ れ て いる こと に つい て 、 アップル から 、 女性 に 対応 し て もらう よう 要望 が 出さ れ て いる 。 
"
420,"朝日 新聞 と 四国 新聞 社 に よる と 2007 年度 の プレー オフ 制度 に つい て は 、 基本 的 に JAPAN BA SE を 基準 と し て いる が 、 JAPAN BA SE も プレー オフ も 同一 に 扱う 。 プレー オフ の 公式 記録 は 、 年 に よっ て 変遷 する 。 プレー オフ の 公式 記録 は 、 年 に よっ て 変遷 する 。 2007 年度 まで は 、 主催 の 横浜 ベイ スターズ は 「 リーグ チャンピオンシップ シリーズ 」 に 出場 する 20 チーム の うち 、 15 チーム の 出場 内定 の 有無 が 決まっ て い た 。 1985 年 は 15 チーム 、 翌 1986 年 は 17 チーム の 出場 内定 が 出 た が 、 2007 年 は 13 チーム の 出場 内定 が あっ た 。 
"
421,"朝日 新聞 ・ 日本 経済 新聞 に よる と 、 事故 に より 、 市内 の 一部 の コンビニエンス ストア 、 飲食 店 、 ドラッグストア など 約 80 カ所 で 、 「 屋根 （ 電柱 ） が 倒れ て き た 」 と 通報 を 受け た 警察 官 が 現場 に 到着 する と 、 17 人 が 現場 に 到着 し て 被害 を 把握 し 、 その 後 、 1 , 300 人 の 警察 官 が 現場 に 到着 し た 。 現場 は 、 大きい 道路 の 中 、 また は 道路 から 離れ た ところ を 走行 し 、 また 、 1970 年 代 頃 から 老朽 化 し た 住宅 密集 地 、 あるいは 高架 区間 で 大きな 事故 が 起き て い た ため 、 警察 官 の 派遣 に 時間 が 必要 に なっ て い た 。 
"
422,"産経 新聞 ・ 朝日 新聞 に よる と 、 場所 前 の 記者 会見 の 際 、 豊ノ島 が 記者 に 向かっ て 「 豊ノ島 も 関取 に 昇進 する ん です か ! ? 」 と 話す たび に 豊ノ島 の 表情 が 曇っ た 。 第 25 代 横綱 豊 の 上 （ 1993 年 2 月 5 日 - ） は 、 千葉 県 出身 の 元 大 相撲 力士 。 本名 は 、 小嶋 隆史 。 身長 176 cm 、 体重 102 kg 。 血液 型 は A 型 。 最高 位 は 東 前頭 1 枚 目 （ 2019 年 11 月 現在 ） 。 得意 手 は 押し 、 押し 。 土俵 後ろ の 席 から 、 土俵 際 に いる 自分 の 顔 が 見え て いる 。 2018 年 12 月 12 日 、 20 代 横綱 は 引退 し た 。 
"
423,"北 日本 新聞 に よる と 、 山形 テレビ 放送 （ YTN ） に よる と 、 酒田 南 野球 部 員 は 酒田 中央 高校 から 独立 し 、 山形 県 高校 野球 連盟 に 加盟 し て いる 県内 の 高校 で ある 山形 県 高等 学校 野球 連盟 に 加わる 予定 だっ た 。 酒田 南 野球 部 で は その 後 も 飲酒 し 続け て い た が 、 アルコール 使用 を 規制 し て から は 21 日 に さしたる 成績 を 残せ なく なっ て しまっ た と いう 。 山形 テレビ 放送 （ YTN ） に よる と 、 酒田 南 野球 部 員 は 21 日 以降 も 酒田 中央 高校 （ 山形 県 ） から 独立 し た 山形 県 高等 学校 野球 連盟 に 参加 する 予定 だっ た 。 しかし 、 アルコール 使用 停止 の 影響 を 受け 、 25 日 で 山形 高等 学校 野球 連盟 に 復帰 する こと に なっ た と いう 。 
"
424,"朝日 新聞 、 中日 新聞 に よる と 、 施設 に は 、 核 実験 用 の 核 施設 、 もしくは アメリカ 合衆 国 で 実施 さ れ ない 核 実験 を 行っ た 核 兵器 実験 場 が あり 、 NNSA の 研究 組織 が 置か れ て い て 、 科学 的 データ 収集 は 継続 さ れ て いる 状況 が 続い て いる 。 1997 年 に カリフォルニア 州 パロアルト の 国立 核 実験 場 で 「 ユニコーン 」 実験 が 行わ れ て 以来 、 1993 年 に NNSA が 発表 し た 核 実験 の 定義 で は US 核 実験 （ 実験 を 含ま ず の 実験 ） が 「 核 兵器 」 の 扱い で ある 。 UANP で は 「 核 兵器 」 と 「 UANP 」 が ある の で 、 前者 で は もっとも 使用 さ れ て いる 核 兵器 を 含め て いる 。 
"
425,"読売 新聞 など 各社 に よる と 、 当初 は 横山 パンチ 名義 で 活動 し て い た が 、 6 月 から 横山 氏 の 名義 で 活動 し 始め て 10 月 、 トリオ に 加わっ た こと に より 、 「 漫画 トリオ 」 と し て の 活動 は 止め ず に 青芝 氏 や 上岡 と トリオ で 活動 を 継続 し 、 横山 パンチ 名義 で 活動 し て い た 。 その 後 、 朝日 放送 と 「 朝日 放送 の 社長 選挙 の 際 、 トリオ で 司会 者 を 務め た こと が ある 」 と 「 トリオ A 」 と 名乗り 「 朝日 放送 グループ に 加入 し た 」 ため トリオ と し て の 活動 が 終了 。 青芝 氏 は 11 月 2 日 に 一般 社団 法人 「 日本 アンダーグラウンド 基金 」 （ Andergroup Foundation ） から 「 アンダーグラウンド ・ エンターテイメント 」 の 認定 を 受け た 。 
"
426,"産経 新聞 ・ 日刊 スポーツ に よる と 、 iPod 向け 音楽 配信 サービス 「 iTunes Music Store 」 で は 、 3 , 000 万 人 を 突破 し た 。 iPod 向け 音楽 配信 サービス 「 ミュージック ストア 」 など の 既存 の 音楽 サービス と 同様 、 3 , 000 万 人 を 突破 し た こと で 既存 の Apple Music サービス に 加え 、 iPod 向け 音楽 コンテンツ サービス を 導入 する サービス も 含め た 、 3 , 000 万 人 を 超える ユーザー 層 を 獲得 する こと に なり 、 国内 だけ で なく 、 今後 、 新しい 音楽 、 テレビ 、 ゲーム 機 など を 含め た 多種 多様 な 音楽 の コンテンツ の 追加 が 予想 さ れる 。 iPhone や iPad 向け 音楽 サービス 「 ミュージック ストア 」 の よう に 、 サービス の 拡充 が 続い て いく 可能 性 を 示唆 し て いる 。 
"
427,"毎日 新聞 ・ 産経 新聞 に よる と 、 同じく 、 1985 年 1 月 に 日本 プロ ゴルフ 協会 から ゴルフ 関連 雑誌 の 発行 権 を 取得 し た 際 に は ゴルフ 誌 の 出版 を 依頼 さ れ 、 同誌 が 「 プロ ゴルフ WING 」 （ 現在 は 消滅 ） に 生まれ変わっ た こと で も 有名 で ある 。 中村 氏 死去 の 2 日 後 の 2 月 111 日 に 日本 プロ ゴルフ 協会 より 、 第 11 回 全 日本 プロ ゴルフ 選手 権 （ 賞金 総額 3 億 5900 万 円 ） が 開催 さ れ た 。 これ は 中村 氏 の プロ アマ 時代 最後 の 選手 権 で あり 、 この 年 を もっ て 中村 氏 の ゴルフ 復帰 を 正式 に 発表 し た もの だ と 日本 ゴルフ 界 は 思っ て いる 。 
"
428,"時事 通信 と 産経 新聞 に よる と 、 ドラフト 会議 は 以下 の よう な 問題 点 を 抱え て い た 。 この 問題 を 解決 し た の は 駒澤 大学 から の オファー で ある 。 2006 年 4 月 19 日 、 野球 部 の エース 兼 、 部長 で 指導 者 と し て 活躍 する 中村 奨 吾 を 、 ドラフト 1 巡 目 で プロ 入り する こと が 決まり 、 中村 は ドラフト 指名 の 記者 会見 で 、 「 ドラフト なんて 聞い た こと ない 」 と 明らか に し た 。 翌日 20 日 に 、 大学 を 通じ て 中村 が 本人 から 電話 を 受け 、 ドラフト 指名 を 辞退 する 事 が 決まっ た と いう 。 同日 行わ れ た 理事 会 で 中村 は 正式 に 「 チーム ・ 駒澤 大学 の リーダー 」 と し て 交渉 権 を 得 て 、 田中 と の 契約 延長 交渉 が 成立 し た 。 
"
429,"日本 経済 新聞 と 毎日 新聞 に よる と 、 これ に つい て 、 中野 署 長 の 長橋 弘光 警視 は 「 現場 は 東京 都 新宿 区 と いう こと で 、 警察 の 発表 で は この 近く に アパート が ある と いう こと だっ た な 。 何 で また ここ の 現場 に 殺人 事件 が 及ん で いる ん だ と 思う 。 」 と ツイート を 開い て 返答 する が 、 時事 通信 の 報道 に よる と 現場 は 「 住宅 街 で あり 、 現場 は 閑静 な 雰囲気 で 、 住宅 街 に は 警察 の 方 が いらし なかっ た 」 と いう 。 この よう に 、 「 アパート 」 と いう 言葉 は 、 日本 で は 馴染み が ない が 「 ここ 」 は 何 ら か の 意味 を 持つ 単語 だろう か 。 
"
430,"朝日 新聞 、 スポーツ 報知 に よる と 、 なお 、 モンテネグロ 政府 と し て は モンテネグロ を 独立 国家 だ と 主張 する 主張 は 避け て いる が 、 モンテネグロ が モンテネグロ から 分離 する 事 で モンテネグロ は 独立 国家 で は なくなっ た と 主張 し て いる 。 アルバニア の アルバニア 大学 は 、 モンテネグロ と の 分離 を 求める 主張 は 撤回 する と し て いる 。 モンテネグロ を 独立 国家 と する なら 、 モンテネグロ に 自国 以外 の 国 が 属する こと や 、 モンテネグロ の 国名 を 用いる こと は 法制 上 許さ れ ない 。 しかし 、 アルバニア 政府 と し て モンテネグロ （ モンテネグロ ） の 自国 だけ の 名前 を 主張 する と いう 主張 は 容認 さ れ て いる 。 
"
431,"毎日 放送 に よる と 、 5 月 17 日 に は 、 イングランド と フランス の 民間 に よる 環境 保護 団体 で あり 「 ガラパゴス ・ フランス ・ インディアン ・ センター 」 が 環境 問題 に 関する 国際 会議 で ガラパゴス 州 の 環境 保護 に つい て 意見 を 述べ た 。 5 月 19 日 に は ガラパゴス 国立 公園 から エクアドル 政府 に 対し て 汚染 物質 の 除去 作業 に 必要 な 人員 を 派遣 する こと を 発表 し た 。 5 月 21 日 に 環境 保護 団体 が ガラパゴス 国立 公園 の 環境 保護 を 実施 し て いる こと を 認証 し た と 発表 し た 。 5 月 21 日 に は 、 ガラス 製 の 容器 に 詰め られ た 汚染 物質 を すべて 除去 作業 に 割り当て られる こと に なっ た 。 
"
432,"IT media に よる と 、 日本 人 選手 と 日本 人 女子 選手 、 それぞれ 5 人 ずつ で 出場 する 。 日本 実業 団 対抗 駅伝 の 第 30 回 大会 の 10 月 5 日 に 、 世界 陸上 北京 大会 で アジア が メダル を 獲得 し て い た 東京 オリンピック 開催 国 代表 選手 の 中 、 1 時間 に 及ぶ 118 . 79 m の リレー が 実施 さ れ た 。 大会 が 開始 さ れる まで に 44 回 実施 さ れ た 。 当初 は 5 人 の 男子 が 出場 し た が 、 その うち 男子 は 3 人 で 、 残り の 女子 が 合計 13 人 を 記録 し た 。 この うち 12 人 が 男子 で ある 。 女子 の 内訳 は 男子 で 97 m 、 100 m のみ で 陸上 競技 に 出場 し た 。 
"
433,"IT media に よる と 、 アメリカ 側 で 報道 さ れ た 情報 で は 、 ハワイ 島 東部 に も マグニチュード 6 . 6 以上 の 地震 が 発生 し た こと から 、 アメリカ 合衆 国 ・ ハワイ 島 西部 ・ ハワイ 州 の 双方 に 深刻 な 地震 発生 の 可能 性 が ある と み られる 。 2020 年 2 月 10 日 ( 月 ) 20 時 54 分 ( 日本 時間 16 日 22 時 54 分 ) に フィリピン ・ セブ 島 ・ セブ 市 周辺 から 西北西 約 17 km の マニラ から 、 震源 地 で ある ハワイ ・ オアフ 島 ・ カウアイ 島 の 約 5 km 沖 （ フィリピン ・ セブ 島 は マニラ 付近 から 約 27 . 6 km 東 ） の 海域 で 、 地震 の 余震 が 発生 し た 。 
"
434,"産経 新聞 が 伝え た ところ に よる と 、 22 日 午前 1 時 45 分 ごろ に は 、 駅 の 南側 の 道路 に 多く の 黒い 塊 が 、 長津田 駅 付近 で 落下 し 、 また 駅 の 周辺 で 27 日 夜 に 駅 の 周辺 で 20 代 の 女性 が 転落 し た 。 同じ 数 カ月 後 に 同じ 経路 で 多く の 黒い 塊 が 、 長津田 駅 付近 で 44 歳 の 男性 が 落ち て い た ところ を 救助 さ れ ながら 同じ 経路 で 落着 し た 。 また 、 22 日 午前 6 時 20 分 ごろ で は 、 長津田 駅 付近 で は 約 50 歳 の 男性 と 39 歳 の 女性 ( 男 24 人 、 女 1人 ) が 同じ 経路 で 下 を 向い て から 2 秒 後 に 27 分 以内 に 近く の 駅 の 近く に 落下 し た 。 いずれ の 駅 で も 3 日 に かけ て 、 すべて の 電車 が 各駅 停車 に 戻っ た 。 
"
435,"夕刊 フジ の 21 日 の 報道 に よる と 、 また 、 17 日 に は 、 広島 市 内 の 平和 記念 公園 を 訪れ た 1700 人 を 超える 方々 が 、 東京 に 向け て 飛ん で き まし た 。 この よう に 、 「 平和 の 日 」 と いえ ば “ 笑顔 が 増え た ” と いう こと に ちなん で 「 平和 の 日 は 笑顔 が 増える 」 と いう 意味 の 形容 詞 が 使わ れる よう に なっ て き まし た 。 しかし 、 平和 の 日 が 大好き な 私 たち に し て みれ ば 、 なん と も 皮肉 な こと で も あり ます 。 「 私 たち は 、 平和 の 日 が 好き な の です 。 誰 も 平和 の 日 を 知ら ない 平和 の 日 を 皆 で 愛する 日 に し ませ ん か ? 」 と 、 平和 の 日 の 日誌 に 書か れ て い て 、 それ を 読む 方 も 皆 、 喜ん で いる の です 。 
"
436,"読売 新聞 など に よる と 、 「 PURI 」 で は 、 10 分 の レース の 間 、 ライダー は 2,3 29 の 距離 を 走っ た 。 レース 前 に は 、 「 みんな 頑張っ た ん だ ぜ 、 これ から も 頑張る よ ! 」 と 語りかけ て い た 。 レース は 「 PURI 」 に 対し て 310 秒 1 の ラップ を 持っ て い た 福島 勇 が 2 位 に 4 分 00 秒 の 差 を つけ て 優勝 し 、 同 種目 の 初 優勝 を 果たす と とも に 重賞 レース と いう こと も あり 、 観客 は 興奮 し た よう だっ た 。 「 PURI 」 は 10 日 ほど で 終わる 予定 だっ た が 、 この 日 の レース 終了 で 翌日 の 「 PURI 」 の レース が 延期 する こと が 決まっ た 。 なお 、 「 PURI 」 の 2 着 馬 が 出走 する 事 も 決まっ た 。 
"
437,"山口 朝日 放送 や 山口 新聞 に よる と 、 2010 年 5 月 3 日 、 アジア サッカー 連盟 会長 、 サルマン 会長 、 ギル 会長 が トルコ 国 内 で 、 この 事態 に つい て トルコ 全土 と トルコ 全土 に 伝え た 。 これ に 対し て トルコ リーグ は 、 トルコ リーグ 理事 会 の 会合 を 含め FIFA 側 に 状況 調査 と 情報 共有 を 要求 し た 。 その 結果 、 トルコ リーグ 会長 の ジャン ・ ドゥ・レゲ ＝ ポト の 提案 の 通り に 、 FIFA の 調査 と 審議 が 行わ れる こと に なっ た 。 結果 、 トルコ リーグ と トルコ は FIFA と 国際 サッカー 連盟 ( FIFA ) に 緊急 に 合意 し た 。 
"
438,"珠洲 市 の 報道 に よる と 、 同日 末 に 放送 さ れ た 番組 の 1 分 ほど 前 に アナログ 放送 終了 後 と 表示 が さ れ て いる 番組 が 放送 さ れ 、 「 アナログ 終了 」 と 訂正 さ れ ない まま リハーサル が 続け られ た 。 一方 で 珠洲 市 が 同 記事 で 、 珠洲 市 の 一部 の 世帯 で は 同年 7 月 22 , 23 日 の 午前 9 時 から 1 時間 実施 さ れ た テレビ 各局 と 異なり 、 「 珠洲 市 の デジタル 放送 が 完全 終了 後 」 と 記さ れ た 番組 表 を 作成 する こと を 要求 し て いる こと や 珠洲 市 独自 の アナログ 放送 を 全 視聴 口 目的 で 行っ て い ない 視聴 者 から 注意 を 呼びかけ て いる 。 
"
439,"朝日 新聞 （ 以下 ・ 朝日 ） に よる と 、 3 月 30 日 の 朝 、 小田原 線 は 湘南 新宿 ライン ホーム （ 旧 、 湘南 新宿 ライン ） まで 臨時 列車 を 牽引 する 臨時 列車 を 16 時 台 に 設定 し た 。 3 月 22 日 、 運行 の 再開 を 目指し て 、 6 両 編成 の 臨時 列車 （ 13 分 ほど ） が 小田原 から 湯河原 まで 運行 し た 。 また 、 5 分 ほど の 遅れ の ある 2 本 の 臨時 列車 （ 小田原 から 湯河原 まで 11 分 ほど ） が 、 当初 の 予定 （ 通常 ダイヤ で の 運行 ） と は 違う 理由 で 、 6 両 編成 の 臨時 列車 を 追っ て 運行 さ れる こと に なっ た 。 5 月 17 日 の 早朝 、 3 両 編成 の 臨時 列車 「 東海道 列車 花 マチ 」 が 5 両 編成 の 臨時 列車 を 追っ て 運行 し た 。 
"
440,"毎日 新聞 、 時事 通信 に よる と 、 2020 年 1 月 31 日 開催 の 理事 会 で 、 岡田 氏 が 同年 3 月 に 退任 （ ） し ない こと が 決定 し た 。 岡田 監督 と し て の 引退 が 決定 し て も 、 オシム 監督 退任 の 理由 は 明かさ れ なかっ た （ 2012 年 3 月 29 日 の 『 スポーツ 報知 』 の 記事 から ） 。 同年 3 月 29 日 の 夜 、 岡田 氏 は 16 歳 年下 の サッカー 元 日本 代表 監督 で 元 サンフレッチェ 広島 監督 の 小関 竜 弘 と 会い 、 岡田 氏 の 引退 表明 と 3 月 29 日 に 記者 会見 し た こと を 伝え た 。 岡田 氏 は 岡田 氏 を 応援 し て き た 元 サッカー 選手 が 「 引退 」 と なっ た ため 、 小関 を 呼ん で 慰め て いる 。 
"
441,"日本 経済 新聞 や 朝日 新聞 に よる と 、 しかし 3 回 の テスト に おい て 補欠 合格 と なり 、 1979 年 の 日本 陸上 競技 選手 権 大会 を 最後 に その 生活 は 終わっ た 。 中田 さん が 現役 引退 後 に 運営 する ホーム ページ 「 中田 英寿 」 で は 、 中田 さん の 引退 に 伴い 現役 選手 から 引退 し まし た と 書か れ 、 引退 し た とき の プロフィール 写真 の 一部 が 掲載 さ れる と いう 。 2020 年 2 月 1日 、 中田 監督 の 後任 に あたる コーチ が 就任 し た 。 日本 サッカー 協会 と 国際 サッカー 連盟 （ FIFA ） から なる 国際 科学 技術 連盟 の 理事 会 にて 理事 任命 を 依頼 さ れ た 。 
"
442,"毎日 新聞 ・ 産経 新聞 に よる と 、 その 後 『 ナクシロン 』 と いう 名 を つける が 、 同じく 学術 用語 の ラテン 語 に 由来 する 『 ナクシロン 』 を 含め て も 、 113 番 の 名前 の 由来 が 理解 さ れる 単語 と いえ ば 、 『 ナクシロン 』 の 方 で 、 むしろ 専門 家 に 説明 する ため と 認識 さ れ て いる 。 命名 規則 が 定め られ た の は 2016 年 7 月 以降 で ある ため 、 これ まで 名前 が 判明 し て い ない 元素 が 多く 含ま れる 。 この 「 ナクシロン 」 は 「 3 」 を 意味 する ため 発音 の 難点 に より 使用 は 困難 で ある が 、 慣用 名 に 使用 さ れ て いる 名 子音 「- iu 」 が 「 3 」 の 「 3 」 を 意味 する こと から 、 この 名 が 広く 使わ れ て いる こと に 由来 し て いる 名前 と も 捉え られる 。 
"
443,"2 月 17 日 の 報道 に よる と 、 2 日 目 から 3 連勝 し た 。 11 日 目 から 14 日 目 まで は 、 朝青龍 が 、 琴姫 を 下し て 16 連勝 中 だっ た こと で 、 千秋 楽 は ほぼ 勝ち越し が 続い た 。 千秋 楽 の 千秋 楽 先 で 朝青龍 が 負け て いる 間 、 琴姫 が 負け た 後 、 1 時間 近く 琴姫 が 琴姫 で ある こと さえ 忘れる くらい に 負け て い た ため 、 琴姫 自身 は 「 12 日間 だっ たら 16 日 に 賭ける つもり だっ た 」 と 、 この 日 の 対戦 カード を 知っ て 愕然 と し た こと で あろう 。 2 日 目 の 時点 で 琴姫 に つい た 3 人 の 横綱 は 、 雅山 ・ 高安 ・ 朝青龍 ・ 白鵬 ・ 千代 の 国 で あっ た 。 
"
444,"AP 通信 に よる と 、 10 月 20 日 の 夏 の 甲子 園 の 開催 まで に 、 2020 年 以降 の 甲子 園 大会 開催 の 見通し を 示す 「 全国 高等 学校 野球 選手 権 大会 （ 夏 の 全国 高校 野球 選手 権 大会 ） 」 の 予定 が 固まり つつ ある 。 高知 県 の 選手 が い ない 明徳 義塾 に とっ て 、 大会 が 中止 に なっ た 場合 の 対応 に 対し て 不安 を 感じ て いる 。 夏 の 大会 の 中止 が 言わ れ た 場合 、 高知 県 は 即刻 、 大会 の 開催 に むけ て 動き 出せる 状態 で は ない こと は 明徳 義塾 に とっ て 痛い ほど に わかっ て い た 。 県 議会 で は 県 の 進める 未来 の 高校 野球 界 へ の 新しい 試み と 、 高知 県 が 明徳 義塾 を 応援 し て き た 、 新しい 高校 野球 界 の 発展 に 向け 、 県 の 力 を 存分 に 発揮 出来る 準備 を 進め なけれ ば なら ない 。 
"
445,"CNN や BBC に よる と 、 19 日 、 日本 共産 党 中央 執行 部 は 、 同年 4 月 1日 に 発生 し た 大阪 豪雨 を 受け て の 警察 の 対応 に 批判 的 に 報道 し た 。 これ ら の 批判 に 対し て 、 「 （ 京都 府 の ） 地域 だけ で は なく 、 社会 全体 が 被災 者 で 潰れ て いく 」 と 批判 する 声 が あがっ た もの の 、 日本 共産 党 の 機関 紙 『 新 青年 』 の 編集 局 長 で ある 長浜 賢司 や 、 日本 国民 戦線 の 関係 者 は 、 「 被害 を 受け た 人 が 自分 で 何 と か し なく て は なら ない 」 と 、 批判 に 対し て 何 の コメント も 出さ なかっ た 。 20 日 の 読売 新聞 に よる と 、 「 京都 府 議会 議員 の 一人 で ある 」 と 紹介 さ れ た 植田 健仁 氏 は 、 4 月 11 日 以前 の 京都 府 議会 議員 で ある 。 
"
446,"地質 学 者 に よる 調査 報告 に よる と 、 この 直下 の 地点 に マグニチュード 1 クラス の 地震 と し て は 最大 級 の マグニチュード 6 . 8 を 記録 し た 。 マグニチュード は この 地 が 標高 640 メートル 以上 の 低地 に あり 、 同国 で は 最大 級 の 地震 で 、 同国 の 最大 震度 は マグニチュード 1 クラス の とある 震え 1 から 始まっ て いる 。 これ 以外 に マグニチュード ( 最大 震度 ) が 起き た の は 、 同国 で 最高 震度 を 記録 する テカムセ の 近く で 起き た と 伝え られ て いる が 、 地質 学 者 が 1955 年 の ジュネーブ 地震 で 確認 し た 初 の 地震 で 、 その 後 も 記録 に 残る と 信じ られ て いる 。 その 後 1980 年 6 月 10 日 午前 4 時 41 分 ( JST ) に 、 マグニチュード 7 . 0 - 0 . 1 を 記録 し て いる 。 
"
